t;U;U
[s];[V];[V]

4,480;0,08;-0,04
4,490;0,08;-0,04
4,500;0,08;-0,05
4,510;0,08;-0,05
4,520;0,08;-0,05
4,530;0,09;-0,05
4,540;0,09;-0,05
4,550;0,09;-0,05
4,560;0,09;-0,05
4,570;0,09;-0,05
4,580;0,09;-0,05
4,590;0,10;-0,05
4,600;0,10;-0,05
4,610;0,10;-0,05
4,620;0,10;-0,05
4,630;0,10;-0,05
4,640;0,10;-0,05
4,650;0,10;-0,05
4,660;0,10;-0,05
4,670;0,10;-0,05
4,680;0,10;-0,06
4,690;0,10;-0,06
4,700;0,10;-0,06
4,710;0,10;-0,06
4,720;0,10;-0,06
4,730;0,10;-0,06
4,740;0,10;-0,06
4,750;0,10;-0,06
4,760;0,09;-0,05
4,770;0,09;-0,05
4,780;0,09;-0,05
4,790;0,09;-0,05
4,800;0,09;-0,05
4,810;0,09;-0,06
4,820;0,09;-0,06
4,830;0,09;-0,05
4,840;0,08;-0,05
4,850;0,08;-0,05
4,860;0,08;-0,05
4,870;0,08;-0,05
4,880;0,08;-0,05
4,890;0,08;-0,05
4,900;0,07;-0,05
4,910;0,07;-0,05
4,920;0,07;-0,05
4,930;0,07;-0,04
4,940;0,06;-0,04
4,950;0,06;-0,04
4,960;0,06;-0,04
4,970;0,06;-0,04
4,980;0,05;-0,03
4,990;0,05;-0,03
5,000;0,05;-0,03
5,010;0,04;-0,03
5,020;0,04;-0,03
5,030;0,04;-0,02
5,040;0,03;-0,02
5,050;0,03;-0,02
5,060;0,03;-0,02
5,070;0,02;-0,02
5,080;0,02;-0,01
5,090;0,02;-0,01
5,100;0,01;-0,01
5,110;0,01;-0,00
5,120;0,01;-0,00
5,130;0,00;0,00
5,140;0,00;0,00
5,150;-0,00;0,01
5,160;-0,01;0,01
5,170;-0,01;0,01
5,180;-0,01;0,01
5,190;-0,02;0,02
5,200;-0,02;0,02
5,210;-0,02;0,02
5,220;-0,03;0,02
5,230;-0,03;0,02
5,240;-0,03;0,03
5,250;-0,04;0,03
5,260;-0,04;0,03
5,270;-0,04;0,03
5,280;-0,04;0,03
5,290;-0,05;0,04
5,300;-0,05;0,04
5,310;-0,05;0,04
5,320;-0,05;0,04
5,330;-0,06;0,04
5,340;-0,06;0,05
5,350;-0,06;0,05
5,360;-0,06;0,05
5,370;-0,06;0,05
5,380;-0,06;0,05
5,390;-0,07;0,05
5,400;-0,07;0,06
5,410;-0,07;0,06
5,420;-0,07;0,06
5,430;-0,07;0,06
5,440;-0,07;0,06
5,450;-0,07;0,06
5,460;-0,07;0,07
5,470;-0,07;0,07
5,480;-0,07;0,07
5,490;-0,07;0,07
5,500;-0,07;0,07
5,510;-0,07;0,07
5,520;-0,07;0,07
5,530;-0,07;0,07
5,540;-0,07;0,07
5,550;-0,07;0,07
5,560;-0,07;0,07
5,570;-0,07;0,07
5,580;-0,07;0,07
5,590;-0,07;0,07
5,600;-0,07;0,07
5,610;-0,07;0,07
5,620;-0,07;0,07
5,630;-0,07;0,07
5,640;-0,07;0,07
5,650;-0,07;0,07
5,660;-0,07;0,07
5,670;-0,07;0,07
5,680;-0,07;0,07
5,690;-0,07;0,06
5,700;-0,06;0,06
5,710;-0,06;0,06
5,720;-0,06;0,06
5,730;-0,06;0,06
5,740;-0,06;0,06
5,750;-0,06;0,06
5,760;-0,06;0,06
5,770;-0,05;0,06
5,780;-0,05;0,05
5,790;-0,05;0,05
5,800;-0,05;0,05
5,810;-0,05;0,05
5,820;-0,04;0,05
5,830;-0,04;0,04
5,840;-0,04;0,04
5,850;-0,04;0,04
5,860;-0,03;0,04
5,870;-0,03;0,04
5,880;-0,03;0,03
5,890;-0,03;0,03
5,900;-0,03;0,03
5,910;-0,02;0,03
5,920;-0,02;0,03
5,930;-0,02;0,02
5,940;-0,01;0,02
5,950;-0,01;0,02
5,960;-0,01;0,01
5,970;-0,01;0,01
5,980;-0,00;0,01
5,990;-0,00;0,01
6,000;0,00;0,01
6,010;0,01;0,00
6,020;0,01;0,00
6,030;0,01;-0,00
6,040;0,02;-0,00
6,050;0,02;-0,01
6,060;0,02;-0,01
6,070;0,02;-0,01
6,080;0,03;-0,01
6,090;0,03;-0,02
6,100;0,03;-0,02
6,110;0,03;-0,02
6,120;0,04;-0,03
6,130;0,04;-0,03
6,140;0,04;-0,03
6,150;0,05;-0,03
6,160;0,05;-0,04
6,170;0,05;-0,04
6,180;0,06;-0,04
6,190;0,06;-0,04
6,200;0,06;-0,05
6,210;0,07;-0,05
